i,Coef.,Std.Err.,z,P>|z|,[0.025,0.975],beta_0,beta_1,n_absent,n_present,n_subj,rho,sigma,tau_0,tau_1
category[T.present] Var,192.32,2.152,,,,,650,30,150,150,6,0.35,175,80,15
Intercept,726.176,31.614,22.97,0.0,664.214,788.138,650,30,150,150,6,0.35,175,80,15
category[T.present],30.27,9.731,3.111,0.002,11.197,49.343,650,30,150,150,6,0.35,175,80,15
Group Var,5780.136,21.135,,,,,650,30,150,150,6,0.35,175,80,15
Group x category[T.present] Cov,883.893,5.035,,,,,650,30,150,150,6,0.35,175,80,15
category[T.present] Var,135.225,2.171,,,,,650,30,150,150,6,0.35,175,80,15
Intercept,612.683,46.973,13.043,0.0,520.617,704.748,650,30,150,150,6,0.35,175,80,15
category[T.present],41.472,10.304,4.025,0.0,21.276,61.667,650,30,150,150,6,0.35,175,80,15
Group Var,13045.137,49.239,,,,,650,30,150,150,6,0.35,175,80,15
Group x category[T.present] Cov,1804.158,9.023,,,,,650,30,150,150,6,0.35,175,80,15
category[T.present] Var,249.517,2.635,,,,,650,30,150,150,6,0.35,175,80,15
Intercept,592.27,26.943,21.982,0.0,539.462,645.077,650,30,150,150,6,0.35,175,80,15
category[T.present],36.879,8.387,4.397,0.0,20.44,53.317,650,30,150,150,6,0.35,175,80,15
Group Var,4145.238,15.705,,,,,650,30,150,150,6,0.35,175,80,15
Group x category[T.present] Cov,75.793,,,,,,650,30,150,150,6,0.35,175,80,15
category[T.present] Var,1.386,,,,,,650,30,150,150,6,0.35,175,80,15
Intercept,596.384,25.173,23.691,0.0,547.046,645.722,650,30,150,150,6,0.35,175,80,15
category[T.present],26.673,10.423,2.559,0.01,6.244,47.101,650,30,150,150,6,0.35,175,80,15
Group Var,3606.302,14.057,,,,,650,30,150,150,6,0.35,175,80,15
Group x category[T.present] Cov,161.284,4.11,,,,,650,30,150,150,6,0.35,175,80,15
category[T.present] Var,260.307,2.409,,,,,650,30,150,150,6,0.35,175,80,15
Intercept,602.076,24.952,24.129,0.0,553.17,650.981,650,30,150,150,6,0.35,175,80,15
category[T.present],27.555,8.023,3.435,0.001,11.83,43.279,650,30,150,150,6,0.35,175,80,15
Group Var,3542.796,13.906,,,,,650,30,150,150,6,0.35,175,80,15
Group x category[T.present] Cov,42.743,3.23,,,,,650,30,150,150,6,0.35,175,80,15
category[T.present] Var,0.516,1.481,,,,,650,30,150,150,6,0.35,175,80,15
Intercept,693.279,23.807,29.121,0.0,646.619,739.939,650,30,150,150,6,0.35,175,80,15
category[T.present],37.882,11.009,3.441,0.001,16.304,59.46,650,30,150,150,6,0.35,175,80,15
Group Var,3195.524,12.285,,,,,650,30,150,150,6,0.35,175,80,15
Group x category[T.present] Cov,85.886,4.023,,,,,650,30,150,150,6,0.35,175,80,15
category[T.present] Var,317.225,2.627,,,,,650,30,150,150,6,0.35,175,80,15
Intercept,666.304,31.154,21.388,0.0,605.244,727.363,650,30,150,150,6,0.35,175,80,15
category[T.present],41.075,13.225,3.106,0.002,15.154,66.995,650,30,150,150,6,0.35,175,80,15
Group Var,5611.611,20.702,,,,,650,30,150,150,6,0.35,175,80,15
Group x category[T.present] Cov,-1124.074,7.059,,,,,650,30,150,150,6,0.35,175,80,15
category[T.present] Var,626.1,3.731,,,,,650,30,150,150,6,0.35,175,80,15
Intercept,620.112,30.774,20.151,0.0,559.796,680.428,650,30,150,150,6,0.35,175,80,15
category[T.present],30.863,13.124,2.352,0.019,5.141,56.585,650,30,150,150,6,0.35,175,80,15
Group Var,5484.481,20.924,,,,,650,30,150,150,6,0.35,175,80,15
Group x category[T.present] Cov,1244.368,6.861,,,,,650,30,150,150,6,0.35,175,80,15
category[T.present] Var,637.938,3.799,,,,,650,30,150,150,6,0.35,175,80,15
Intercept,616.867,30.792,20.033,0.0,556.516,677.218,650,30,150,150,6,0.35,175,80,15
category[T.present],29.25,13.111,2.231,0.026,3.554,54.947,650,30,150,150,6,0.35,175,80,15
Group Var,5499.257,21.365,,,,,650,30,150,150,6,0.35,175,80,15
Group x category[T.present] Cov,1515.641,7.327,,,,,650,30,150,150,6,0.35,175,80,15
category[T.present] Var,652.099,3.872,,,,,650,30,150,150,6,0.35,175,80,15
Intercept,622.318,24.599,25.299,0.0,574.105,670.53,650,30,150,150,6,0.35,175,80,15
category[T.present],39.184,10.368,3.779,0.0,18.863,59.505,650,30,150,150,6,0.35,175,80,15
Group Var,3426.552,11.18,,,,,650,30,150,150,6,0.35,175,80,15
Group x category[T.present] Cov,331.793,5.191,,,,,650,30,150,150,6,0.35,175,80,15
category[T.present] Var,236.902,6.323,,,,,650,30,150,150,6,0.35,175,80,15
Intercept,676.92,34.408,19.673,0.0,609.482,744.358,650,30,150,150,6,0.35,175,80,15
category[T.present],29.659,8.824,3.361,0.001,12.365,46.953,650,30,150,150,6,0.35,175,80,15
Group Var,6898.863,26.179,,,,,650,30,150,150,6,0.35,175,80,15
Group x category[T.present] Cov,-614.414,5.553,,,,,650,30,150,150,6,0.35,175,80,15
category[T.present] Var,58.173,2.033,,,,,650,30,150,150,6,0.35,175,80,15
Intercept,579.216,27.39,21.147,0.0,525.533,632.899,650,30,150,150,6,0.35,175,80,15
category[T.present],14.047,8.064,1.742,0.082,-1.759,29.852,650,30,150,150,6,0.35,175,80,15
Group Var,4306.354,16.929,,,,,650,30,150,150,6,0.35,175,80,15
Group x category[T.present] Cov,-50.155,4.751,,,,,650,30,150,150,6,0.35,175,80,15
category[T.present] Var,0.586,3.27,,,,,650,30,150,150,6,0.35,175,80,15
Intercept,596.611,14.917,39.996,0.0,567.374,625.847,650,30,150,150,6,0.35,175,80,15
category[T.present],29.43,10.559,2.787,0.005,8.735,50.126,650,30,150,150,6,0.35,175,80,15
Group Var,1131.038,4.833,,,,,650,30,150,150,6,0.35,175,80,15
Group x category[T.present] Cov,-479.821,2.985,,,,,650,30,150,150,6,0.35,175,80,15
category[T.present] Var,260.932,2.422,,,,,650,30,150,150,6,0.35,175,80,15
Intercept,714.252,30.448,23.458,0.0,654.575,773.929,650,30,150,150,6,0.35,175,80,15
category[T.present],32.263,8.431,3.827,0.0,15.74,48.787,650,30,150,150,6,0.35,175,80,15
Group Var,5352.31,19.947,,,,,650,30,150,150,6,0.35,175,80,15
Group x category[T.present] Cov,150.333,6.364,,,,,650,30,150,150,6,0.35,175,80,15
category[T.present] Var,6.004,,,,,,650,30,150,150,6,0.35,175,80,15
Intercept,658.756,36.012,18.293,0.0,588.173,729.339,650,30,150,150,6,0.35,175,80,15
category[T.present],19.969,8.16,2.447,0.014,3.975,35.962,650,30,150,150,6,0.35,175,80,15
Group Var,7581.574,28.579,,,,,650,30,150,150,6,0.35,175,80,15
Group x category[T.present] Cov,0.606,5.097,,,,,650,30,150,150,6,0.35,175,80,15
category[T.present] Var,0.004,1.839,,,,,650,30,150,150,6,0.35,175,80,15
Intercept,627.049,24.183,25.93,0.0,579.652,674.446,650,30,150,150,6,0.35,175,80,15
category[T.present],51.414,8.879,5.79,0.0,34.012,68.817,650,30,150,150,6,0.35,175,80,15
Group Var,3294.23,12.397,,,,,650,30,150,150,6,0.35,175,80,15
Group x category[T.present] Cov,-29.466,3.271,,,,,650,30,150,150,6,0.35,175,80,15
category[T.present] Var,43.93,1.671,,,,,650,30,150,150,6,0.35,175,80,15
Intercept,656.361,33.144,19.804,0.0,591.401,721.321,650,30,150,150,6,0.35,175,80,15
category[T.present],10.868,12.175,0.893,0.372,-12.994,34.731,650,30,150,150,6,0.35,175,80,15
Group Var,6393.944,24.285,,,,,650,30,150,150,6,0.35,175,80,15
Group x category[T.present] Cov,-742.772,6.76,,,,,650,30,150,150,6,0.35,175,80,15
category[T.present] Var,495.373,3.277,,,,,650,30,150,150,6,0.35,175,80,15
Intercept,644.996,37.762,17.081,0.0,570.984,719.008,650,30,150,150,6,0.35,175,80,15
category[T.present],16.744,15.013,1.115,0.265,-12.681,46.17,650,30,150,150,6,0.35,175,80,15
Group Var,8348.514,30.758,,,,,650,30,150,150,6,0.35,175,80,15
Group x category[T.present] Cov,-1015.041,9.176,,,,,650,30,150,150,6,0.35,175,80,15
category[T.present] Var,938.067,4.859,,,,,650,30,150,150,6,0.35,175,80,15
Intercept,663.989,26.845,24.735,0.0,611.375,716.603,650,30,150,150,6,0.35,175,80,15
category[T.present],49.779,11.49,4.332,0.0,27.259,72.298,650,30,150,150,6,0.35,175,80,15
Group Var,4101.908,15.015,,,,,650,30,150,150,6,0.35,175,80,15
Group x category[T.present] Cov,775.645,4.737,,,,,650,30,150,150,6,0.35,175,80,15
category[T.present] Var,348.371,2.75,,,,,650,30,150,150,6,0.35,175,80,15
Intercept,618.83,33.486,18.48,0.0,553.199,684.461,650,30,150,150,6,0.35,175,80,15
category[T.present],3.507,9.279,0.378,0.705,-14.679,21.693,650,30,150,150,6,0.35,175,80,15
Group Var,6508.201,19.548,,,,,650,30,150,150,6,0.35,175,80,15
Group x category[T.present] Cov,-217.835,5.014,,,,,650,30,150,150,6,0.35,175,80,15
category[T.present] Var,77.367,,,,,,650,30,150,150,6,0.35,175,80,15
Intercept,615.152,45.853,13.416,0.0,525.281,705.022,650,30,150,150,6,0.35,175,80,15
category[T.present],62.269,11.402,5.461,0.0,39.921,84.617,650,30,150,150,6,0.35,175,80,15
Group Var,12400.77,45.01,,,,,650,30,150,150,6,0.35,175,80,15
Group x category[T.present] Cov,2087.416,9.71,,,,,650,30,150,150,6,0.35,175,80,15
category[T.present] Var,351.374,,,,,,650,30,150,150,6,0.35,175,80,15
Intercept,666.718,31.589,21.106,0.0,604.805,728.632,650,30,150,150,6,0.35,175,80,15
category[T.present],21.858,8.803,2.483,0.013,4.603,39.112,650,30,150,150,6,0.35,175,80,15
Group Var,5783.275,21.754,,,,,650,30,150,150,6,0.35,175,80,15
Group x category[T.present] Cov,574.704,4.687,,,,,650,30,150,150,6,0.35,175,80,15
category[T.present] Var,57.11,1.984,,,,,650,30,150,150,6,0.35,175,80,15
Intercept,656.643,38.995,16.839,0.0,580.214,733.072,650,30,150,150,6,0.35,175,80,15
category[T.present],29.207,11.248,2.597,0.009,7.16,51.253,650,30,150,150,6,0.35,175,80,15
Group Var,8921.343,33.166,,,,,650,30,150,150,6,0.35,175,80,15
Group x category[T.present] Cov,-549.668,7.028,,,,,650,30,150,150,6,0.35,175,80,15
category[T.present] Var,354.41,2.76,,,,,650,30,150,150,6,0.35,175,80,15
Intercept,655.106,25.588,25.602,0.0,604.955,705.257,650,30,150,150,6,0.35,175,80,15
category[T.present],16.74,9.151,1.829,0.067,-1.195,34.675,650,30,150,150,6,0.35,175,80,15
Group Var,3716.35,14.348,,,,,650,30,150,150,6,0.35,175,80,15
Group x category[T.present] Cov,539.503,5.079,,,,,650,30,150,150,6,0.35,175,80,15
category[T.present] Var,78.32,4.887,,,,,650,30,150,150,6,0.35,175,80,15
Intercept,614.335,42.289,14.527,0.0,531.449,697.221,650,30,150,150,6,0.35,175,80,15
category[T.present],34.283,8.846,3.875,0.0,16.945,51.621,650,30,150,150,6,0.35,175,80,15
Group Var,10520.037,38.391,,,,,650,30,150,150,6,0.35,175,80,15
Group x category[T.present] Cov,716.882,6.558,,,,,650,30,150,150,6,0.35,175,80,15
category[T.present] Var,48.852,2.292,,,,,650,30,150,150,6,0.35,175,80,15
Intercept,618.381,37.835,16.344,0.0,544.226,692.535,650,30,150,150,6,0.35,175,80,15
category[T.present],38.222,10.049,3.804,0.0,18.527,57.917,650,30,150,150,6,0.35,175,80,15
Group Var,8386.288,31.306,,,,,650,30,150,150,6,0.35,175,80,15
Group x category[T.present] Cov,1297.614,6.846,,,,,650,30,150,150,6,0.35,175,80,15
category[T.present] Var,200.785,2.572,,,,,650,30,150,150,6,0.35,175,80,15
Intercept,681.057,19.052,35.748,0.0,643.717,718.398,650,30,150,150,6,0.35,175,80,15
category[T.present],37.456,12.46,3.006,0.003,13.034,61.877,650,30,150,150,6,0.35,175,80,15
Group Var,1979.54,7.997,,,,,650,30,150,150,6,0.35,175,80,15
Group x category[T.present] Cov,782.37,3.995,,,,,650,30,150,150,6,0.35,175,80,15
category[T.present] Var,535.044,3.424,,,,,650,30,150,150,6,0.35,175,80,15
Intercept,583.135,15.34,38.014,0.0,553.069,613.2,650,30,150,150,6,0.35,175,80,15
category[T.present],17.978,10.813,1.663,0.096,-3.216,39.172,650,30,150,150,6,0.35,175,80,15
Group Var,1208.342,5.117,,,,,650,30,150,150,6,0.35,175,80,15
Group x category[T.present] Cov,337.777,2.57,,,,,650,30,150,150,6,0.35,175,80,15
category[T.present] Var,294.453,2.543,,,,,650,30,150,150,6,0.35,175,80,15
Intercept,616.92,45.04,13.697,0.0,528.643,705.196,650,30,150,150,6,0.35,175,80,15
category[T.present],30.34,8.499,3.57,0.0,13.682,46.997,650,30,150,150,6,0.35,175,80,15
Group Var,11971.909,44.653,,,,,650,30,150,150,6,0.35,175,80,15
Group x category[T.present] Cov,-638.861,7.182,,,,,650,30,150,150,6,0.35,175,80,15
category[T.present] Var,34.092,2.174,,,,,650,30,150,150,6,0.35,175,80,15
Intercept,602.436,22.008,27.374,0.0,559.302,645.57,650,30,150,150,6,0.35,175,80,15
category[T.present],22.87,14.857,1.539,0.124,-6.25,51.99,650,30,150,150,6,0.35,175,80,15
Group Var,2699.004,10.445,,,,,650,30,150,150,6,0.35,175,80,15
Group x category[T.present] Cov,914.721,5.296,,,,,650,30,150,150,6,0.35,175,80,15
category[T.present] Var,910.377,4.762,,,,,650,30,150,150,6,0.35,175,80,15
Intercept,546.809,19.719,27.73,0.0,508.161,585.457,650,30,150,150,6,0.35,175,80,15
category[T.present],34.589,9.009,3.84,0.0,16.932,52.246,650,30,150,150,6,0.35,175,80,15
Group Var,2134.17,8.562,,,,,650,30,150,150,6,0.35,175,80,15
Group x category[T.present] Cov,382.4,2.802,,,,,650,30,150,150,6,0.35,175,80,15
category[T.present] Var,89.311,1.786,,,,,650,30,150,150,6,0.35,175,80,15
Intercept,699.92,41.388,16.911,0.0,618.802,781.038,650,30,150,150,6,0.35,175,80,15
category[T.present],31.671,12.653,2.503,0.012,6.871,56.47,650,30,150,150,6,0.35,175,80,15
Group Var,10064.06,36.38,,,,,650,30,150,150,6,0.35,175,80,15
Group x category[T.present] Cov,1388.853,8.385,,,,,650,30,150,150,6,0.35,175,80,15
category[T.present] Var,533.577,3.399,,,,,650,30,150,150,6,0.35,175,80,15
Intercept,646.506,32.84,19.687,0.0,582.141,710.87,650,30,150,150,6,0.35,175,80,15
category[T.present],17.421,9.873,1.764,0.078,-1.93,36.772,650,30,150,150,6,0.35,175,80,15
Group Var,6263.231,23.244,,,,,650,30,150,150,6,0.35,175,80,15
Group x category[T.present] Cov,-337.658,5.126,,,,,650,30,150,150,6,0.35,175,80,15
category[T.present] Var,170.006,2.101,,,,,650,30,150,150,6,0.35,175,80,15
Intercept,638.542,18.357,34.784,0.0,602.563,674.522,650,30,150,150,6,0.35,175,80,15
category[T.present],6.003,12.154,0.494,0.621,-17.819,29.825,650,30,150,150,6,0.35,175,80,15
Group Var,1817.297,7.31,,,,,650,30,150,150,6,0.35,175,80,15
Group x category[T.present] Cov,848.751,3.794,,,,,650,30,150,150,6,0.35,175,80,15
category[T.present] Var,477.148,3.204,,,,,650,30,150,150,6,0.35,175,80,15
Intercept,674.689,33.567,20.099,0.0,608.898,740.48,650,30,150,150,6,0.35,175,80,15
category[T.present],40.514,14.397,2.814,0.005,12.297,68.731,650,30,150,150,6,0.35,175,80,15
Group Var,6571.653,25.433,,,,,650,30,150,150,6,0.35,175,80,15
Group x category[T.present] Cov,1566.708,8.531,,,,,650,30,150,150,6,0.35,175,80,15
category[T.present] Var,865.618,4.677,,,,,650,30,150,150,6,0.35,175,80,15
Intercept,641.353,18.184,35.271,0.0,605.714,676.992,650,30,150,150,6,0.35,175,80,15
category[T.present],46.458,8.647,5.373,0.0,29.51,63.406,650,30,150,150,6,0.35,175,80,15
Group Var,1775.647,6.012,,,,,650,30,150,150,6,0.35,175,80,15
Group x category[T.present] Cov,51.332,4.278,,,,,650,30,150,150,6,0.35,175,80,15
category[T.present] Var,32.221,,,,,,650,30,150,150,6,0.35,175,80,15
Intercept,674.791,37.623,17.936,0.0,601.051,748.53,650,30,150,150,6,0.35,175,80,15
category[T.present],27.541,9.375,2.938,0.003,9.167,45.915,650,30,150,150,6,0.35,175,80,15
Group Var,8306.021,32.131,,,,,650,30,150,150,6,0.35,175,80,15
Group x category[T.present] Cov,-83.075,5.7,,,,,650,30,150,150,6,0.35,175,80,15
category[T.present] Var,153.652,1.995,,,,,650,30,150,150,6,0.35,175,80,15
Intercept,574.127,24.359,23.569,0.0,526.384,621.87,650,30,150,150,6,0.35,175,80,15
category[T.present],32.485,18.624,1.744,0.081,-4.017,68.987,650,30,150,150,6,0.35,175,80,15
Group Var,3358.205,12.959,,,,,650,30,150,150,6,0.35,175,80,15
Group x category[T.present] Cov,145.586,6.997,,,,,650,30,150,150,6,0.35,175,80,15
category[T.present] Var,1677.044,7.574,,,,,650,30,150,150,6,0.35,175,80,15
Intercept,694.757,28.271,24.575,0.0,639.346,750.168,650,30,150,150,6,0.35,175,80,15
category[T.present],37.52,9.614,3.902,0.0,18.676,56.363,650,30,150,150,6,0.35,175,80,15
Group Var,4598.44,17.714,,,,,650,30,150,150,6,0.35,175,80,15
Group x category[T.present] Cov,858.272,4.748,,,,,650,30,150,150,6,0.35,175,80,15
category[T.present] Var,160.199,2.256,,,,,650,30,150,150,6,0.35,175,80,15
Intercept,647.527,11.053,58.585,0.0,625.864,669.19,650,30,150,150,6,0.35,175,80,15
category[T.present],37.925,9.198,4.123,0.0,19.897,55.952,650,30,150,150,6,0.35,175,80,15
Group Var,536.374,3.415,,,,,650,30,150,150,6,0.35,175,80,15
Group x category[T.present] Cov,247.652,1.455,,,,,650,30,150,150,6,0.35,175,80,15
category[T.present] Var,114.345,,,,,,650,30,150,150,6,0.35,175,80,15
Intercept,630.203,20.997,30.015,0.0,589.05,671.355,650,30,150,150,6,0.35,175,80,15
category[T.present],31.26,8.259,3.785,0.0,15.073,47.448,650,30,150,150,6,0.35,175,80,15
Group Var,2441.833,9.648,,,,,650,30,150,150,6,0.35,175,80,15
Group x category[T.present] Cov,-81.192,2.984,,,,,650,30,150,150,6,0.35,175,80,15
category[T.present] Var,2.703,1.731,,,,,650,30,150,150,6,0.35,175,80,15
Intercept,631.528,32.748,19.285,0.0,567.343,695.712,650,30,150,150,6,0.35,175,80,15
category[T.present],38.011,10.159,3.742,0.0,18.1,57.921,650,30,150,150,6,0.35,175,80,15
Group Var,6221.688,22.811,,,,,650,30,150,150,6,0.35,175,80,15
Group x category[T.present] Cov,603.681,5.092,,,,,650,30,150,150,6,0.35,175,80,15
category[T.present] Var,193.61,2.195,,,,,650,30,150,150,6,0.35,175,80,15
Intercept,607.667,31.705,19.166,0.0,545.527,669.807,650,30,150,150,6,0.35,175,80,15
category[T.present],21.447,11.461,1.871,0.061,-1.016,43.91,650,30,150,150,6,0.35,175,80,15
Group Var,5821.364,21.537,,,,,650,30,150,150,6,0.35,175,80,15
Group x category[T.present] Cov,-162.299,5.577,,,,,650,30,150,150,6,0.35,175,80,15
category[T.present] Var,368.538,2.814,,,,,650,30,150,150,6,0.35,175,80,15
Intercept,608.063,43.672,13.924,0.0,522.468,693.658,650,30,150,150,6,0.35,175,80,15
category[T.present],23.771,9.211,2.581,0.01,5.719,41.824,650,30,150,150,6,0.35,175,80,15
Group Var,11235.768,41.965,,,,,650,30,150,150,6,0.35,175,80,15
Group x category[T.present] Cov,-956.994,7.648,,,,,650,30,150,150,6,0.35,175,80,15
category[T.present] Var,93.974,2.465,,,,,650,30,150,150,6,0.35,175,80,15
Intercept,604.45,34.566,17.487,0.0,536.701,672.199,650,30,150,150,6,0.35,175,80,15
category[T.present],39.197,12.003,3.266,0.001,15.672,62.721,650,30,150,150,6,0.35,175,80,15
Group Var,6971.217,26.358,,,,,650,30,150,150,6,0.35,175,80,15
Group x category[T.present] Cov,-1605.493,7.988,,,,,650,30,150,150,6,0.35,175,80,15
category[T.present] Var,468.726,3.178,,,,,650,30,150,150,6,0.35,175,80,15
Intercept,631.245,16.561,38.117,0.0,598.787,663.704,650,30,150,150,6,0.35,175,80,15
category[T.present],8.329,12.108,0.688,0.492,-15.402,32.06,650,30,150,150,6,0.35,175,80,15
Group Var,1454.287,6.255,,,,,650,30,150,150,6,0.35,175,80,15
Group x category[T.present] Cov,850.118,3.709,,,,,650,30,150,150,6,0.35,175,80,15
category[T.present] Var,496.986,3.55,,,,,650,30,150,150,6,0.35,175,80,15
Intercept,697.992,36.773,18.981,0.0,625.918,770.065,650,30,150,150,6,0.35,175,80,15
category[T.present],17.302,14.749,1.173,0.241,-11.605,46.209,650,30,150,150,6,0.35,175,80,15
Group Var,7893.833,28.312,,,,,650,30,150,150,6,0.35,175,80,15
Group x category[T.present] Cov,-1393.746,8.955,,,,,650,30,150,150,6,0.35,175,80,15
category[T.present] Var,865.902,4.555,,,,,650,30,150,150,6,0.35,175,80,15
Intercept,619.206,14.634,42.313,0.0,590.524,647.889,650,30,150,150,6,0.35,175,80,15
category[T.present],28.81,14.28,2.017,0.044,0.821,56.799,650,30,150,150,6,0.35,175,80,15
Group Var,1084.101,4.69,,,,,650,30,150,150,6,0.35,175,80,15
Group x category[T.present] Cov,-595.725,3.833,,,,,650,30,150,150,6,0.35,175,80,15
category[T.present] Var,821.891,4.468,,,,,650,30,150,150,6,0.35,175,80,15
Intercept,687.083,22.211,30.935,0.0,643.551,730.615,650,30,150,150,6,0.35,175,80,15
category[T.present],30.752,8.963,3.431,0.001,13.185,48.319,650,30,150,150,6,0.35,175,80,15
Group Var,2756.471,10.722,,,,,650,30,150,150,6,0.35,175,80,15
Group x category[T.present] Cov,435.637,3.115,,,,,650,30,150,150,6,0.35,175,80,15
category[T.present] Var,75.166,1.749,,,,,650,30,150,150,6,0.35,175,80,15
Intercept,661.746,29.107,22.735,0.0,604.698,718.794,650,30,150,150,6,0.35,175,80,15
category[T.present],17.538,13.582,1.291,0.197,-9.083,44.158,650,30,150,150,6,0.35,175,80,15
Group Var,4879.97,18.443,,,,,650,30,150,150,6,0.35,175,80,15
Group x category[T.present] Cov,-447.561,6.303,,,,,650,30,150,150,6,0.35,175,80,15
category[T.present] Var,700.395,4.016,,,,,650,30,150,150,6,0.35,175,80,15
Intercept,642.291,24.405,26.318,0.0,594.459,690.123,650,30,150,150,6,0.35,175,80,15
category[T.present],17.594,10.616,1.657,0.097,-3.212,38.4,650,30,150,150,6,0.35,175,80,15
Group Var,3368.46,12.908,,,,,650,30,150,150,6,0.35,175,80,15
Group x category[T.present] Cov,8.463,3.996,,,,,650,30,150,150,6,0.35,175,80,15
category[T.present] Var,266.047,2.442,,,,,650,30,150,150,6,0.35,175,80,15
Intercept,566.673,42.659,13.284,0.0,483.064,650.282,650,30,150,150,6,0.35,175,80,15
category[T.present],29.916,8.511,3.515,0.0,13.235,46.597,650,30,150,150,6,0.35,175,80,15
Group Var,10706.995,43.591,,,,,650,30,150,150,6,0.35,175,80,15
Group x category[T.present] Cov,351.59,18.887,,,,,650,30,150,150,6,0.35,175,80,15
category[T.present] Var,11.545,,,,,,650,30,150,150,6,0.35,175,80,15
Intercept,639.152,21.702,29.451,0.0,596.617,681.687,650,30,150,150,6,0.35,175,80,15
category[T.present],39.563,8.012,4.938,0.0,23.859,55.267,650,30,150,150,6,0.35,175,80,15
Group Var,2637.61,10.743,,,,,650,30,150,150,6,0.35,175,80,15
Group x category[T.present] Cov,-148.74,3.097,,,,,650,30,150,150,6,0.35,175,80,15
category[T.present] Var,8.638,1.625,,,,,650,30,150,150,6,0.35,175,80,15
Intercept,681.573,50.718,13.439,0.0,582.167,780.978,650,30,150,150,6,0.35,175,80,15
category[T.present],40.103,8.237,4.869,0.0,23.959,56.247,650,30,150,150,6,0.35,175,80,15
Group Var,15231.694,56.107,,,,,650,30,150,150,6,0.35,175,80,15
Group x category[T.present] Cov,208.977,6.739,,,,,650,30,150,150,6,0.35,175,80,15
category[T.present] Var,2.867,1.631,,,,,650,30,150,150,6,0.35,175,80,15
Intercept,626.508,21.112,29.676,0.0,585.129,667.886,650,30,150,150,6,0.35,175,80,15
category[T.present],12.424,10.733,1.158,0.247,-8.612,33.46,650,30,150,150,6,0.35,175,80,15
Group Var,2472.411,8.978,,,,,650,30,150,150,6,0.35,175,80,15
Group x category[T.present] Cov,-837.941,4.614,,,,,650,30,150,150,6,0.35,175,80,15
category[T.present] Var,287.464,3.528,,,,,650,30,150,150,6,0.35,175,80,15
Intercept,640.342,40.383,15.857,0.0,561.193,719.491,650,30,150,150,6,0.35,175,80,15
category[T.present],31.039,10.621,2.922,0.003,10.222,51.857,650,30,150,150,6,0.35,175,80,15
Group Var,9585.102,36.166,,,,,650,30,150,150,6,0.35,175,80,15
Group x category[T.present] Cov,1631.22,7.963,,,,,650,30,150,150,6,0.35,175,80,15
category[T.present] Var,277.606,,,,,,650,30,150,150,6,0.35,175,80,15
Intercept,682.983,37.234,18.343,0.0,610.005,755.96,650,30,150,150,6,0.35,175,80,15
category[T.present],38.655,10.175,3.799,0.0,18.712,58.598,650,30,150,150,6,0.35,175,80,15
Group Var,8113.811,30.083,,,,,650,30,150,150,6,0.35,175,80,15
Group x category[T.present] Cov,362.654,5.819,,,,,650,30,150,150,6,0.35,175,80,15
category[T.present] Var,212.29,2.247,,,,,650,30,150,150,6,0.35,175,80,15
Intercept,630.168,29.694,21.222,0.0,571.968,688.367,650,30,150,150,6,0.35,175,80,15
category[T.present],35.105,11.288,3.11,0.002,12.98,57.23,650,30,150,150,6,0.35,175,80,15
Group Var,5080.366,18.88,,,,,650,30,150,150,6,0.35,175,80,15
Group x category[T.present] Cov,1063.068,5.506,,,,,650,30,150,150,6,0.35,175,80,15
category[T.present] Var,344.466,2.728,,,,,650,30,150,150,6,0.35,175,80,15
Intercept,669.739,34.986,19.143,0.0,601.167,738.311,650,30,150,150,6,0.35,175,80,15
category[T.present],40.172,14.066,2.856,0.004,12.603,67.74,650,30,150,150,6,0.35,175,80,15
Group Var,7126.813,25.759,,,,,650,30,150,150,6,0.35,175,80,15
Group x category[T.present] Cov,-493.56,7.523,,,,,650,30,150,150,6,0.35,175,80,15
category[T.present] Var,752.192,4.164,,,,,650,30,150,150,6,0.35,175,80,15
Intercept,632.756,28.157,22.472,0.0,577.568,687.943,650,30,150,150,6,0.35,175,80,15
category[T.present],29.562,8.483,3.485,0.0,12.935,46.189,650,30,150,150,6,0.35,175,80,15
Group Var,4564.132,13.431,,,,,650,30,150,150,6,0.35,175,80,15
Group x category[T.present] Cov,-331.749,3.914,,,,,650,30,150,150,6,0.35,175,80,15
category[T.present] Var,46.062,,,,,,650,30,150,150,6,0.35,175,80,15
Intercept,624.828,34.83,17.939,0.0,556.562,693.094,650,30,150,150,6,0.35,175,80,15
category[T.present],26.829,15.207,1.764,0.078,-2.977,56.634,650,30,150,150,6,0.35,175,80,15
Group Var,7071.319,26.413,,,,,650,30,150,150,6,0.35,175,80,15
Group x category[T.present] Cov,2622.463,10.533,,,,,650,30,150,150,6,0.35,175,80,15
category[T.present] Var,972.564,6.036,,,,,650,30,150,150,6,0.35,175,80,15
Intercept,660.562,41.82,15.795,0.0,578.596,742.528,650,30,150,150,6,0.35,175,80,15
category[T.present],21.832,13.526,1.614,0.107,-4.678,48.343,650,30,150,150,6,0.35,175,80,15
Group Var,10293.4,38.381,,,,,650,30,150,150,6,0.35,175,80,15
Group x category[T.present] Cov,790.649,8.894,,,,,650,30,150,150,6,0.35,175,80,15
category[T.present] Var,697.488,4.012,,,,,650,30,150,150,6,0.35,175,80,15
