Name,Coef.,Std. Error,z,Pr(>|z|),n_subj,n_present,n_absent,beta_0,beta_1,tau_0,tau_1,rho,sigma
(Intercept),702.380527161497,45.59124461279249,15.406039758879832,1.4907191451387002e-53,2,150,150,650,30,80,15,0.35,175
category: present,51.13364735018023,14.901831218920556,3.431366695742525,0.0006005482056055957,2,150,150,650,30,80,15,0.35,175
(Intercept),647.3147741812803,13.142625423725006,49.253079450377605,0.0,2,150,150,650,30,80,15,0.35,175
category: present,38.557498590236676,14.130566356688163,2.728659107990173,0.006359240427028868,2,150,150,650,30,80,15,0.35,175
(Intercept),658.7936648592733,10.13139663903198,65.024960361459,0.0,2,150,150,650,30,80,15,0.35,175
category: present,63.31790664826435,14.776746998456124,4.284969259802567,1.8276445706439843e-5,2,150,150,650,30,80,15,0.35,175
(Intercept),615.9251340970118,35.298655727371774,17.448968562828373,3.5050493038568084e-68,2,150,150,650,30,80,15,0.35,175
category: present,27.786599545094134,21.628282646529996,1.2847344377364223,0.198885099756691,2,150,150,650,30,80,15,0.35,175
(Intercept),671.9715113528673,44.32424337605465,15.160360565024048,6.4713096751364016e-52,2,150,150,650,30,80,15,0.35,175
category: present,20.467800329928163,14.302321268893037,1.4310824057941414,0.1524065991223645,2,150,150,650,30,80,15,0.35,175
(Intercept),681.3698455367094,43.09279267150947,15.811689224476574,2.5844318077678494e-56,2,150,150,650,30,80,15,0.35,175
category: present,54.05980759862657,16.976788149678928,3.1843365848709713,0.00145086203811762,2,150,150,650,30,80,15,0.35,175
(Intercept),695.7806322807407,9.997041571332007,69.59865349324889,0.0,2,150,150,650,30,80,15,0.35,175
category: present,35.622371819489075,14.137951836607998,2.519627470172204,0.01174790948168783,2,150,150,650,30,80,15,0.35,175
(Intercept),692.4576946327725,27.443274527727937,25.232327648551273,1.770481985603921e-140,2,150,150,650,30,80,15,0.35,175
category: present,39.77050033549709,15.506954073471304,2.5646880842663307,0.010326859274046616,2,150,150,650,30,80,15,0.35,175
(Intercept),604.7084986144881,38.86108175440365,15.560773692203355,1.344636064385381e-54,2,150,150,650,30,80,15,0.35,175
category: present,43.5329903165332,13.861285934902616,3.1406170048709154,0.001685923482367927,2,150,150,650,30,80,15,0.35,175
(Intercept),737.1599335826492,14.250989901519702,51.726928352116765,0.0,2,150,150,650,30,80,15,0.35,175
category: present,17.264100488204846,15.43842747412419,1.1182551148516002,0.26345805112204346,2,150,150,650,30,80,15,0.35,175
(Intercept),684.0295146260912,59.92506223173768,11.414748506741034,3.52923317406526e-30,2,150,150,650,30,80,15,0.35,175
category: present,46.347935526753474,14.990922162513792,3.091733452038784,0.001989914428072406,2,150,150,650,30,80,15,0.35,175
(Intercept),657.6318194480824,10.416405412964412,63.13423809614631,0.0,2,150,150,650,30,80,15,0.35,175
category: present,38.22512118198415,30.634187824601423,1.2477928711818718,0.21210692002117593,2,150,150,650,30,80,15,0.35,175
(Intercept),667.4474304772582,11.681895195327513,57.13520103691922,0.0,2,150,150,650,30,80,15,0.35,175
category: present,30.55136792637172,24.845598760409498,1.2296490908101658,0.21882853846902098,2,150,150,650,30,80,15,0.35,175
(Intercept),593.1471353364141,9.917858577919597,59.80596826183365,0.0,2,150,150,650,30,80,15,0.35,175
category: present,29.489455563634845,14.025970110592477,2.1024895483959627,0.03551041424094229,2,150,150,650,30,80,15,0.35,175
(Intercept),663.5199609631666,28.96653881180065,22.90642887209071,4.008925106971751e-116,2,150,150,650,30,80,15,0.35,175
category: present,40.00560338432645,25.842591006266673,1.5480492406750286,0.12161044164386756,2,150,150,650,30,80,15,0.35,175
(Intercept),634.0735677242366,10.130437285463731,62.59093757325513,0.0,2,150,150,650,30,80,15,0.35,175
category: present,38.490860798198,14.326601801895304,2.6866706655521018,0.007216806968257524,2,150,150,650,30,80,15,0.35,175
(Intercept),618.4499269197541,33.540350310045916,18.43898233628519,6.393321923679734e-76,2,150,150,650,30,80,15,0.35,175
category: present,3.0248469247377985,17.184954317746612,0.1760171641314222,0.8602804579455706,2,150,150,650,30,80,15,0.35,175
(Intercept),590.2316755184563,38.62917294390517,15.279428228389804,1.0485666977379759e-52,2,150,150,650,30,80,15,0.35,175
